feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	1159616	10	-							L7H18_00005	192		
CDS	with_protein	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	1159616	10	-	UMX47923.1			hypothetical protein			L7H18_00005	192	63	
gene	protein_coding	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	83	1432	+					dnaA		L7H18_00010	1350		
CDS	with_protein	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	83	1432	+	UMX47924.1			chromosomal replication initiator protein DnaA	dnaA		L7H18_00010	1350	449	
gene	protein_coding	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	1680	2819	+					dnaN		L7H18_00015	1140		
CDS	with_protein	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	1680	2819	+	UMX47925.1			DNA polymerase III subunit beta	dnaN		L7H18_00015	1140	379	
gene	protein_coding	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	2864	4819	-							L7H18_00020	1956		
CDS	with_protein	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	2864	4819	-	UMX47926.1			transglycosylase domain-containing protein			L7H18_00020	1956	651	
gene	protein_coding	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	4925	6124	+					tyrS		L7H18_00025	1200		
CDS	with_protein	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	4925	6124	+	UMX47927.1			tyrosine--tRNA ligase	tyrS		L7H18_00025	1200	399	
gene	protein_coding	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	6357	6842	-					ruvC		L7H18_00030	486		
CDS	with_protein	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	6357	6842	-	UMX47928.1			crossover junction endodeoxyribonuclease RuvC	ruvC		L7H18_00030	486	161	
gene	protein_coding	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	7234	8415	+							L7H18_00035	1182		
CDS	with_protein	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	7234	8415	+	UMX47929.1			ATP-binding protein			L7H18_00035	1182	393	
gene	protein_coding	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	8493	9251	-							L7H18_00040	759		
CDS	with_protein	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	8493	9251	-	UMX47930.1			YebC/PmpR family DNA-binding transcriptional regulator			L7H18_00040	759	252	
gene	protein_coding	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	9822	11150	-							L7H18_00045	1329		
CDS	with_protein	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	9822	11150	-	UMX47931.1			GspE/PulE family protein			L7H18_00045	1329	442	
gene	protein_coding	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	11240	11701	+					tsaE		L7H18_00050	462		
CDS	with_protein	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	11240	11701	+	UMX47932.1			tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE	tsaE		L7H18_00050	462	153	
gene	protein_coding	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	11817	12758	+							L7H18_00055	942		
CDS	with_protein	GCA_022530585.1	Primary Assembly	chromosome		CP092821.1	11817	12758	+	UMX47933.1			5'-3' exonuclease			L7H18_00055	942	313	
