feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	1082380	615	-					proC		H6760_00005	822		
CDS	with_protein	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	1082380	615	-	USN53552.1			pyrroline-5-carboxylate reductase	proC		H6760_00005	822	273	
gene	protein_coding	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	612	1673	-					proB		H6760_00010	1062		
CDS	with_protein	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	612	1673	-	USN53553.1			glutamate 5-kinase	proB		H6760_00010	1062	353	
gene	protein_coding	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	1774	2247	-							H6760_00015	474		
CDS	with_protein	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	1774	2247	-	USN53554.1			hypothetical protein			H6760_00015	474	157	
gene	tRNA	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	3361	3435	-							H6760_00020	75		
tRNA		GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	3361	3435	-				tRNA-Arg			H6760_00020	75		anticodon=TCT
gene	protein_coding	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	3524	4939	-							H6760_00025	1416		
CDS	with_protein	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	3524	4939	-	USN53555.1			T9SS type A sorting domain-containing protein			H6760_00025	1416	471	
gene	protein_coding	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	5050	5424	+							H6760_00030	375		
CDS	with_protein	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	5050	5424	+	USN53556.1			hypothetical protein			H6760_00030	375	124	
gene	protein_coding	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	5516	5968	+							H6760_00035	453		
CDS	with_protein	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	5516	5968	+	USN53557.1			hypothetical protein			H6760_00035	453	150	
gene	protein_coding	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	6060	6647	+							H6760_00040	588		
CDS	with_protein	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	6060	6647	+	USN53558.1			Hsp20/alpha crystallin family protein			H6760_00040	588	195	
gene	protein_coding	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	6708	8534	+							H6760_00045	1827		
CDS	with_protein	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	6708	8534	+	USN53559.1			VanW family protein			H6760_00045	1827	608	
gene	protein_coding	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	9152	10159	+							H6760_00050	1008		
CDS	with_protein	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	9152	10159	+	USN53560.1			NGG1p interacting factor NIF3			H6760_00050	1008	335	
gene	protein_coding	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	10174	11196	+					ruvB		H6760_00055	1023		
CDS	with_protein	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	10174	11196	+	USN53561.1			Holliday junction branch migration DNA helicase RuvB	ruvB		H6760_00055	1023	340	
gene	protein_coding	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	11204	11437	+							H6760_00060	234		
CDS	with_protein	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	11204	11437	+	USN53562.1			hypothetical protein			H6760_00060	234	77	
gene	protein_coding	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	11440	12063	+							H6760_00065	624		
CDS	with_protein	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	11440	12063	+	USN53563.1			PH domain-containing protein			H6760_00065	624	207	
gene	protein_coding	GCA_023898465.1	Primary Assembly	chromosome		CP060223.1	12372	14252	-							H6760_00070	1881		
