feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	4	1398	+					dnaA		MWR63_00005	1395		
CDS	with_protein	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	4	1398	+	UOY14152.1			chromosomal replication initiator protein DnaA	dnaA		MWR63_00005	1395	464	
gene	protein_coding	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	1641	2756	+					dnaN		MWR63_00010	1116		
CDS	with_protein	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	1641	2756	+	UOY14153.1			DNA polymerase III subunit beta	dnaN		MWR63_00010	1116	371	
gene	protein_coding	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	2701	3834	+							MWR63_00015	1134		
CDS	with_protein	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	2701	3834	+	UOY14154.1			DNA replication/repair protein RecF			MWR63_00015	1134	377	
gene	protein_coding	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	3827	4264	+							MWR63_00020	438		
CDS	with_protein	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	3827	4264	+	UOY14155.1			DUF721 domain-containing protein			MWR63_00020	438	145	
gene	protein_coding	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	4391	6832	+					gyrA		MWR63_00025	2442		
CDS	with_protein	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	4391	6832	+	UOY14156.1			DNA topoisomerase (ATP-hydrolyzing) subunit A	gyrA		MWR63_00025	2442	813	
gene	protein_coding	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	7257	8261	+							MWR63_00030	1005		
CDS	with_protein	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	7257	8261	+	UOY14677.1			DUF3798 domain-containing protein			MWR63_00030	1005	334	
gene	protein_coding	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	8341	9261	-							MWR63_00035	921		
CDS	with_protein	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	8341	9261	-	UOY14678.1			hypothetical protein			MWR63_00035	921	306	
gene	pseudogene	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	9274	9447	-							MWR63_00040	174		pseudo
CDS	without_protein	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	9274	9447	-				hypothetical protein			MWR63_00040	174		pseudo
gene	protein_coding	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	9374	9988	-							MWR63_00045	615		
CDS	with_protein	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	9374	9988	-	UOY14157.1			hypothetical protein			MWR63_00045	615	204	
gene	protein_coding	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	10397	12379	+							MWR63_00050	1983		
CDS	with_protein	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	10397	12379	+	UOY14158.1			hypothetical protein			MWR63_00050	1983	660	
gene	protein_coding	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	12545	13777	+							MWR63_00055	1233		
CDS	with_protein	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	12545	13777	+	UOY14159.1			DUF3798 domain-containing protein			MWR63_00055	1233	410	
gene	protein_coding	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	13968	15782	+					pheT		MWR63_00060	1815		
CDS	with_protein	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	13968	15782	+	UOY14160.1			phenylalanine--tRNA ligase subunit beta	pheT		MWR63_00060	1815	604	
gene	protein_coding	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	15760	18318	+							MWR63_00065	2559		
CDS	with_protein	GCA_023016405.1	Primary Assembly	chromosome		CP095417.1	15760	18318	+	UOY14679.1			Lon protease family protein			MWR63_00065	2559	852	
