feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	1	1491	+							Ctha_0001	1491		
CDS	with_protein	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	1	1491	+	ACF12473.1			chromosomal replication initiator protein DnaA			Ctha_0001	1491	496	
gene	protein_coding	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	1606	1956	-							Ctha_0002	351		
CDS	with_protein	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	1606	1956	-	ACF12474.1			hypothetical protein			Ctha_0002	351	116	
gene	protein_coding	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	1998	3026	-							Ctha_0003	1029		
CDS	with_protein	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	1998	3026	-	ACF12475.1			Holliday junction DNA helicase RuvB			Ctha_0003	1029	342	
gene	protein_coding	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	3142	3303	-							Ctha_0004	162		
CDS	with_protein	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	3142	3303	-	ACF12476.1			conserved hypothetical protein			Ctha_0004	162	53	
gene	protein_coding	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	3386	4132	-							Ctha_0005	747		
CDS	with_protein	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	3386	4132	-	ACF12477.1			hypothetical protein			Ctha_0005	747	248	
gene	protein_coding	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	4575	7100	+							Ctha_0006	2526		
CDS	with_protein	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	4575	7100	+	ACF12478.1			DNA gyrase, A subunit			Ctha_0006	2526	841	
gene	protein_coding	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	7173	10736	-							Ctha_0007	3564		
CDS	with_protein	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	7173	10736	-	ACF12479.1			chromosome segregation protein SMC			Ctha_0007	3564	1187	
gene	protein_coding	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	11114	13699	-							Ctha_0008	2586		
CDS	with_protein	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	11114	13699	-	ACF12480.1			glycoside hydrolase family 2 sugar binding			Ctha_0008	2586	861	
gene	protein_coding	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	13989	14675	+							Ctha_0009	687		
CDS	with_protein	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	13989	14675	+	ACF12481.1			Isoprenylcysteine carboxyl methyltransferase			Ctha_0009	687	228	
gene	protein_coding	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	14775	15797	+							Ctha_0010	1023		
CDS	with_protein	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	14775	15797	+	ACF12482.1			Abortive infection protein			Ctha_0010	1023	340	
gene	protein_coding	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	15831	16115	+							Ctha_0011	285		
CDS	with_protein	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	15831	16115	+	ACF12483.1			hypothetical protein			Ctha_0011	285	94	
gene	protein_coding	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	16112	16927	+							Ctha_0012	816		
CDS	with_protein	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	16112	16927	+	ACF12484.1			phosphatidate cytidylyltransferase			Ctha_0012	816	271	
gene	protein_coding	GCA_000020525.1	Primary Assembly	chromosome		CP001100.1	17017	17526	+							Ctha_0013	510		
