cnum	TNTcnum	minsteps	maxsteps	cscores	chomo	CIs	RIs	RCIs
1	0	15	424	218	203	0.0688073394495413	0.503667481662592	0.0346560193804536
2	1	15	282	156	141	0.0961538461538462	0.471910112359551	0.0453759723422645
3	2	13	392	258	245	0.0503875968992248	0.353562005277045	0.0178151398007813
4	3	15	414	272	257	0.0551470588235294	0.355889724310777	0.0196262715612561
5	4	17	375	212	195	0.080188679245283	0.455307262569832	0.0365104880362601
6	5	16	395	194	178	0.0824742268041237	0.530343007915567	0.0437396295188097
7	6	19	366	202	183	0.0940594059405941	0.472622478386167	0.0444545895511741
8	7	18	185	124	106	0.145161290322581	0.365269461077844	0.0530229862854935
9	8	17	367	209	192	0.0813397129186603	0.451428571428571	0.0367190704032809
10	9	14	342	209	195	0.0669856459330144	0.405487804878049	0.0271618625277162
11	10	13	363	233	220	0.055793991416309	0.371428571428571	0.0207234825260576
12	11	18	283	180	162	0.1	0.388679245283019	0.0388679245283019
13	12	18	255	155	137	0.116129032258065	0.421940928270042	0.0489995916700694
14	13	12	341	249	237	0.0481927710843374	0.279635258358663	0.0134763979931886
15	14	16	368	254	238	0.062992125984252	0.323863636363636	0.0204008589835361
16	15	19	313	218	199	0.0871559633027523	0.32312925170068	0.0281626412032703
17	16	16	331	174	158	0.0919540229885057	0.498412698412698	0.0458310527276045
18	17	18	386	257	239	0.0700389105058366	0.35054347826087	0.0245516833023177
19	18	18	375	247	229	0.0728744939271255	0.358543417366947	0.0261286700915184
20	19	19	337	192	173	0.0989583333333333	0.455974842767296	0.0451225104821803
21	20	18	356	230	212	0.0782608695652174	0.372781065088757	0.0291741703112941
22	21	16	288	179	163	0.0893854748603352	0.400735294117647	0.035819914558002
23	22	17	268	144	127	0.118055555555556	0.49402390438247	0.0583222664895972
24	23	18	341	222	204	0.0810810810810811	0.368421052631579	0.0298719772403983
25	24	16	361	246	230	0.0650406504065041	0.333333333333333	0.021680216802168
26	25	18	251	182	164	0.0989010989010989	0.296137339055794	0.0292883082582653
27	26	19	335	171	152	0.111111111111111	0.518987341772152	0.0576652601969058
28	27	16	393	277	261	0.0577617328519856	0.307692307692308	0.017772840877534
29	28	18	413	260	242	0.0692307692307692	0.387341772151899	0.0268159688412853
30	29	18	417	243	225	0.0740740740740741	0.43609022556391	0.0323029796714007
31	30	19	383	253	234	0.075098814229249	0.357142857142857	0.0268210050818746
32	31	18	382	227	209	0.079295154185022	0.425824175824176	0.0337657936776879
33	32	18	142	100	82	0.18	0.338709677419355	0.0609677419354839
34	33	17	362	199	182	0.085427135678392	0.472463768115942	0.0403612264219649
35	34	17	357	224	207	0.0758928571428571	0.391176470588235	0.0296875
36	35	19	360	180	161	0.105555555555556	0.527859237536657	0.0557184750733138
37	36	17	329	215	198	0.0790697674418605	0.365384615384615	0.0288908765652952
38	37	19	370	211	192	0.0900473933649289	0.452991452991453	0.0407906995584721
39	38	18	275	165	147	0.109090909090909	0.428015564202335	0.046692607003891
40	39	19	255	188	169	0.101063829787234	0.283898305084746	0.028691849981969
41	40	16	405	257	241	0.0622568093385214	0.380462724935733	0.0236863953267382
42	41	18	396	228	210	0.0789473684210526	0.444444444444444	0.0350877192982456
43	42	19	372	226	207	0.084070796460177	0.413597733711048	0.034771490887212
44	43	17	351	208	191	0.0817307692307692	0.42814371257485	0.0349925149700599
45	44	14	323	179	165	0.0782122905027933	0.466019417475728	0.0364484460595542
46	45	16	347	216	200	0.0740740740740741	0.395770392749245	0.0293163253888329
47	46	18	416	238	220	0.0756302521008403	0.447236180904523	0.0338245851104261
48	47	18	388	218	200	0.0825688073394495	0.459459459459459	0.0379370195883957
49	48	16	425	245	229	0.0653061224489796	0.440097799511002	0.028741080784392
50	49	19	404	249	230	0.0763052208835341	0.402597402597403	0.0307202837323319
51	50	17	279	169	152	0.100591715976331	0.419847328244275	0.0422331631961697
52	51	17	325	208	191	0.0817307692307692	0.37987012987013	0.0310470779220779
53	52	16	415	275	259	0.0581818181818182	0.350877192982456	0.020414673046252
54	53	18	403	219	201	0.0821917808219178	0.477922077922078	0.039281266678527
55	54	19	330	175	156	0.108571428571429	0.498392282958199	0.0541111621497474
56	55	17	453	266	249	0.0639097744360902	0.428899082568807	0.0274108436228185
57	56	15	471	252	237	0.0595238095238095	0.480263157894737	0.0285870927318296
58	57	11	201	123	112	0.0894308943089431	0.410526315789474	0.0367137355584082
59	58	17	375	220	203	0.0772727272727273	0.432960893854749	0.0334560690705942
60	59	17	329	211	194	0.0805687203791469	0.378205128205128	0.0304715032203184
61	60	11	380	199	188	0.0552763819095477	0.490514905149051	0.0271138892293446
62	61	10	324	159	149	0.0628930817610063	0.525477707006369	0.0330489123903377
63	62	17	408	189	172	0.0899470899470899	0.560102301790281	0.0503795721187026
64	63	13	456	219	206	0.0593607305936073	0.534988713318284	0.0317573208819073
65	64	12	248	141	129	0.0851063829787234	0.453389830508475	0.0385863685539127
66	65	5	52	26	21	0.192307692307692	0.553191489361702	0.106382978723404
67	66	11	401	112	101	0.0982142857142857	0.741025641025641	0.072779304029304
68	67	10	352	175	165	0.0571428571428571	0.517543859649123	0.0295739348370927
69	68	0	0	0	0	NA	NA	NA
70	69	4	159	51	47	0.0784313725490196	0.696774193548387	0.0546489563567362
71	70	9	298	108	99	0.0833333333333333	0.657439446366782	0.0547866205305652
72	71	5	54	9	4	0.555555555555556	0.918367346938776	0.510204081632653
73	72	4	78	17	13	0.235294117647059	0.824324324324324	0.1939586645469
