# Assembly name:  ASM21912v1
# Organism name:  Acetonema longum DSM 6540 (firmicutes)
# Infraspecific name:  strain=DSM 6540
# Taxid:          1009370
# BioSample:      SAMN02469409
# BioProject:     PRJNA66109
# Submitter:      California Institute of Technology
# Date:           2011-06-22
# Assembly type:  na
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    AFGF01
# Assembly method: Newbler v. 1.1.03.24
# Genome coverage: 15x
# Sequencing technology: 454
# Relation to type material: assembly from type material
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000219125.2
# RefSeq assembly accession: GCF_000219125.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000219135.2	GCF_000219135.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Contig00330	unplaced-scaffold	na	na	AFGF01000296.1	=	NZ_AFGF01000296.1	Primary Assembly	3535	na
Contig00327	unplaced-scaffold	na	na	AFGF01000295.1	=	NZ_AFGF01000295.1	Primary Assembly	2228	na
Contig00325	unplaced-scaffold	na	na	AFGF01000294.1	=	NZ_AFGF01000294.1	Primary Assembly	41863	na
Contig00324	unplaced-scaffold	na	na	AFGF01000293.1	=	NZ_AFGF01000293.1	Primary Assembly	340	na
Contig00323	unplaced-scaffold	na	na	AFGF01000292.1	=	NZ_AFGF01000292.1	Primary Assembly	1771	na
Contig00321	unplaced-scaffold	na	na	AFGF01000291.1	=	NZ_AFGF01000291.1	Primary Assembly	677	na
Contig00318	unplaced-scaffold	na	na	AFGF01000290.1	=	NZ_AFGF01000290.1	Primary Assembly	20456	na
Contig00315	unplaced-scaffold	na	na	AFGF01000289.1	=	NZ_AFGF01000289.1	Primary Assembly	1375	na
Contig00314	unplaced-scaffold	na	na	AFGF01000288.1	=	NZ_AFGF01000288.1	Primary Assembly	1394	na
Contig00312	unplaced-scaffold	na	na	AFGF01000287.1	=	NZ_AFGF01000287.1	Primary Assembly	1098	na
Contig00311	unplaced-scaffold	na	na	AFGF01000286.1	=	NZ_AFGF01000286.1	Primary Assembly	628	na
Contig00310	unplaced-scaffold	na	na	AFGF01000285.1	=	NZ_AFGF01000285.1	Primary Assembly	388	na
Contig00309	unplaced-scaffold	na	na	AFGF01000284.1	=	NZ_AFGF01000284.1	Primary Assembly	323	na
Contig00308	unplaced-scaffold	na	na	AFGF01000283.1	=	NZ_AFGF01000283.1	Primary Assembly	2588	na
