feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	51	2984	+							H6797_00005	2934		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	51	2984	+	USN96574.1			M23 family metallopeptidase			H6797_00005	2934	977	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	2977	4254	+							H6797_00010	1278		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	2977	4254	+	USN96575.1			hypothetical protein			H6797_00010	1278	425	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	4258	4890	+							H6797_00015	633		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	4258	4890	+	USN96576.1			PEGA domain-containing protein			H6797_00015	633	210	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	4887	5360	+							H6797_00020	474		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	4887	5360	+	USN96577.1			hypothetical protein			H6797_00020	474	157	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	5357	6391	-					recF		H6797_00025	1035		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	5357	6391	-	USN96578.1			DNA replication and repair protein RecF	recF		H6797_00025	1035	344	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	6404	7507	-					dnaN		H6797_00030	1104		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	6404	7507	-	USN96579.1			DNA polymerase III subunit beta	dnaN		H6797_00030	1104	367	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	7787	9130	-					dnaA		H6797_00035	1344		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	7787	9130	-	USN96580.1			chromosomal replication initiator protein DnaA	dnaA		H6797_00035	1344	447	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	9592	9729	+					rpmH		H6797_00040	138		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	9592	9729	+	USN96581.1			50S ribosomal protein L34	rpmH		H6797_00040	138	45	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	9780	10130	+					rnpA		H6797_00045	351		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	9780	10130	+	USN96582.1			ribonuclease P protein component	rnpA		H6797_00045	351	116	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	10186	11151	+							H6797_00050	966		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	10186	11151	+	USN96583.1			YidC/Oxa1 family membrane protein insertase			H6797_00050	966	321	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	11148	11609	+							H6797_00055	462		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	11148	11609	+	USN96584.1			single-stranded DNA-binding protein			H6797_00055	462	153	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	11649	12770	-							H6797_00060	1122		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	11649	12770	-	USN96585.1			glycosyltransferase family 4 protein			H6797_00060	1122	373	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	12767	13711	-							H6797_00065	945		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	12767	13711	-	USN96586.1			glycosyltransferase family 2 protein			H6797_00065	945	314	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	13760	14773	-							H6797_00070	1014		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	13760	14773	-	USN96587.1			glycosyltransferase family 2 protein			H6797_00070	1014	337	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	14797	15597	+							H6797_00075	801		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	14797	15597	+	USN96588.1			ABC transporter permease			H6797_00075	801	266	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	15597	16784	+							H6797_00080	1188		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	15597	16784	+	USN96589.1			ABC transporter ATP-binding protein			H6797_00080	1188	395	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	16850	18106	+							H6797_00085	1257		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	16850	18106	+	USN96590.1			glycosyltransferase family 1 protein			H6797_00085	1257	418	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	18099	19037	+							H6797_00090	939		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	18099	19037	+	USN96591.1			NAD-dependent epimerase/dehydratase family protein			H6797_00090	939	312	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	19034	20023	+							H6797_00095	990		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	19034	20023	+	USN96592.1			glycosyltransferase family 2 protein			H6797_00095	990	329	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	20072	20635	+							H6797_00100	564		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	20072	20635	+	USN96593.1			hypothetical protein			H6797_00100	564	187	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	20640	23000	+							H6797_00105	2361		
CDS	with_protein	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	20640	23000	+	USN96594.1			hypothetical protein			H6797_00105	2361	786	
gene	protein_coding	GCA_023898645.1	Primary Assembly	chromosome		CP060232.1	23043	24524	+							H6797_00110	1482		
