feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	1	1380	+					dnaA		CLDAP_00010	1380		
CDS	with_protein	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	1	1380	+	BAL98040.1			chromosomal replication initiator protein DnaA	dnaA		CLDAP_00010	1380	459	
gene	protein_coding	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	1563	2591	+					recA		CLDAP_00020	1029		
CDS	with_protein	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	1563	2591	+	BAL98041.1			protein RecA	recA		CLDAP_00020	1029	342	
gene	protein_coding	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	2893	4461	+					rny		CLDAP_00030	1569		
CDS	with_protein	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	2893	4461	+	BAL98042.1			ribonuclease Y	rny		CLDAP_00030	1569	522	
gene	protein_coding	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	4525	5973	+							CLDAP_00040	1449		
CDS	with_protein	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	4525	5973	+	BAL98043.1			hypothetical protein			CLDAP_00040	1449	482	
gene	protein_coding	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	6077	6823	+					gpmA		CLDAP_00050	747		
CDS	with_protein	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	6077	6823	+	BAL98044.1			2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	gpmA		CLDAP_00050	747	248	
gene	protein_coding	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	6945	7838	+							CLDAP_00060	894		
CDS	with_protein	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	6945	7838	+	BAL98045.1			putative protease Do			CLDAP_00060	894	297	
gene	protein_coding	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	8122	8613	+							CLDAP_00070	492		
CDS	with_protein	GCA_000281175.1	Primary Assembly	chromosome		AP012337.1	8122	8613	+	BAL98046.1			hypothetical protein			CLDAP_00070	492	163	
