motA	motB
AAC07752	AAC07716
AAC73831	AAC73832
AAC74960	AAC74959
AAC76042	AAC76041
AAG03587	AAG03588
AAG04082	AAG04083
AAG04358	AAG04359
AAG04849	AAG04850
AAG06371	AAG06370
AAG08339	AAG08338
AAR33363	AAR33362
AAR36419	AAR36420
ABA03969	ABA03970
ABA04498	ABA04499
ABA04528	ABA04529
ABA05299	ABA05298
ABA05559	ABA05560
ABA05973	ABA05972
ABC76751	ABC76752
ABC77078	ABC77077
ABF85904	ABF91474
ABF87376	ABF88211
ABF90492	ABF89902
ABF90777	ABF88330
ABF91342	ABF88650
ABF91581	ABF92022
ABF92363	ABF91353
ABF92421	ABF87962
ABG59284	ABG59283
ABG60812	ABG60813
ABL64659	ABL64660
ABL64907	ABL64908
ABQ60495	ABQ60635
ABQ61581	ABQ62795
ABQ62189	ABQ61537
ABY95376	ABY95375
ACB73533	ACB73532
ACB73691	ACB73690
ACB75629	ACB75628
ACB76604	ACB76603
ACB77180	ACB77179
ACD89825	ACD89826
ACD90995	ACD90994
ACF11057	ACF11058
ACF11913	ACF11912
ACF14374	ACF14375
ACF14782	ACF14781
ACF43024	ACF43025
ACF44367	ACF44366
ACI21187	ACI20276
ACI21445	ACI21439
ACI22061	ACI21831
ACL22206	ACL22207
ACL63649	ACL63648
ACL64052	ACL64051
ACL64950	ACL64949
ACL65905	ACL65906
ACL67494	ACL67493
ACL67782	ACL67781
ACL94252	AHI88541
ACL95886	ACL95885
ACL96805	ACL96804
ACO31817	ACO32642
ACO32834	ACO31962
ACO33277	ACO31774
ACO33337	ACO34085
ACV38437	ACV38438
ACX73656	ACX73655
ACX73657	ACX73656
ACX73814	ACX73813
ACX74512	ACX74511
ACX74513	ACX74512
ACX75484	ACX75485
ADB15652	ADB15651
ADB16663	ADB16661
ADB17134	ADB17135
ADB17385	ADB17384
ADB17458	ADB17457
ADB17547	ADB17548
ADB18835	ADB18836
ADB18997	ADB18998
ADC89509	ADC89508
ADC89566	ADC89567
ADD67090	ADD67091
ADD67609	ADD67608
ADD67744	ADD67745
ADD67874	ADD67875
ADD68377	ADD68376
ADE86105	ADE85949
ADE87210	ADE87062
ADG94140	ADG94139
ADI15492	ADI15491
ADL00174	ADL00175
ADL01024	ADL01025
ADL02462	ADL02463
ADL42743	ADL42742
ADN09321	ADN09320
ADO44512	ADO44511
ADO68798	ADO68799
ADO70054	ADO70053
ADO72879	ADO72878
ADO73220	ADO73221
ADO74176	ADO74177
ADO75002	ADO75003
ADO76074	ADO76073
ADV60824	ADV60793
ADV62354	ADV62319
ADV63187	ADV63154
ADV63710	ADV63679
ADV63892	ADV63859
ADV67905	ADV67906
ADY58078	ADY58079
ADY58081	ADY58082
ADY58376	ADY58375
ADY60068	ADY60069
ADY61978	ADY61979
ADY81529	ADY81530
ADY81763	ADY81764
ADY81773	ADY81774
AEB12216	AEB12215
AEI15149	AEI15148
AEI88772	AEI88773
AEI88825	AEI88826
AEI89251	AEI89250
AEM21069	AEM21060
AEM22241	AEM22237
AEO47025	AEO47024
AEO47594	AEO47595
AEO48324	AEO48325
AEO48360	AEO48361
AEO48685	AEO48684
AEW00830	AEW00829
AEW03299	AEW03300
AFE07994	AFE06168
