feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	410	1750	+					dnaA		BSU_00010	1341		old_locus_tag=BSU00010
CDS	with_protein	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	410	1750	+	CAB11777.1			chromosomal replication initiator informational ATPase	dnaA		BSU_00010	1341	446	
gene	protein_coding	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	1939	3075	+					dnaN		BSU_00020	1137		old_locus_tag=BSU00020
CDS	with_protein	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	1939	3075	+	CAB11778.1			DNA polymerase III (beta subunit)	dnaN		BSU_00020	1137	378	
gene	protein_coding	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	3206	3421	+					rlbA		BSU_00030	216		old_locus_tag=BSU00030
CDS	with_protein	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	3206	3421	+	CAB11779.1			RNA binding protein involved in ribosome maturation	rlbA		BSU_00030	216	71	
gene	protein_coding	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	3437	4549	+					recF		BSU_00040	1113		old_locus_tag=BSU00040
CDS	with_protein	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	3437	4549	+	CAB11780.1			RecA filament-DNA complex stabilisation, ssDNA and dsDNA binding, ATP binding	recF		BSU_00040	1113	370	
gene	protein_coding	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	4567	4812	+					remB		BSU_00050	246		old_locus_tag=BSU00050
CDS	with_protein	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	4567	4812	+	CAB11781.2			regulator of extracellular matrix formation	remB		BSU_00050	246	81	
gene	protein_coding	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	4867	6783	+					gyrB		BSU_00060	1917		old_locus_tag=BSU00060
CDS	with_protein	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	4867	6783	+	CAB11782.1			DNA gyrase (subunit B)	gyrB		BSU_00060	1917	638	
gene	protein_coding	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	6994	9459	+					gyrA		BSU_00070	2466		old_locus_tag=BSU00070
CDS	with_protein	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	6994	9459	+	CAB11783.1			DNA gyrase (subunit A)	gyrA		BSU_00070	2466	821	
gene	rRNA	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	9810	11364	+					rrnO-16S		BSU_rRNA_1	1555		
rRNA		GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	9810	11364	+				ribosomal RNA-16S	rrnO-16S		BSU_rRNA_1	1555		
gene	tRNA	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	11464	11540	+					trnO-Ile		BSU_tRNA_5	77		
tRNA		GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	11464	11540	+				tRNA-Ile	trnO-Ile		BSU_tRNA_5	77		
gene	tRNA	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	11552	11627	+					trnO-Ala		BSU_tRNA_6	76		
tRNA		GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	11552	11627	+				tRNA-Ala	trnO-Ala		BSU_tRNA_6	76		
gene	rRNA	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	11709	14636	+					rrnO-23S		BSU_rRNA_2	2928		
rRNA		GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	11709	14636	+				ribosomal RNA-23S	rrnO-23S		BSU_rRNA_2	2928		
gene	rRNA	GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	14692	14810	+					rrnO-5S		BSU_rRNA_3	119		
rRNA		GCA_000009045.1	Primary Assembly	chromosome		AL009126.3	14692	14810	+				ribosomal RNA-5S	rrnO-5S		BSU_rRNA_3	119		
