6YE4_A.pdb	6YE4_A.pdb	1.000	236	0	0	1	236	1	236	1.54E-31	1520	236	236
6YE4_A.pdb	5ZFP_A.pdb	0.757	223	54	0	2	224	1	223	7.32E-22	981	236	225
5ZFP_A.pdb	5ZFP_A.pdb	1.000	225	0	0	1	225	1	225	1.49E-30	1517	225	225
5ZFP_A.pdb	6YE4_A.pdb	0.757	223	54	0	1	223	2	224	1.39E-21	1003	225	236
8GQY_A.pdb	8GQY_A.pdb	1.000	253	0	0	1	253	1	253	1.04E-33	1782	253	253
8GQY_A.pdb	6YSF_E.pdb	0.333	242	160	0	7	248	1	241	6.66E-12	511	253	252
6YSF_E.pdb	6YSF_E.pdb	1.000	252	0	0	1	252	1	252	1.16E-35	1864	252	252
6YSF_E.pdb	6YSL_E.pdb	0.346	248	161	0	3	249	6	253	1.41E-12	548	252	255
6YSF_E.pdb	8GQY_A.pdb	0.333	242	160	0	1	241	7	248	1.41E-12	540	252	253
6YKM_A.pdb	6YKM_A.pdb	1.000	255	0	0	1	255	1	255	4.68E-34	1799	255	255
6YKM_A.pdb	6YSL_E.pdb	0.334	246	163	0	2	246	1	246	5.02E-12	510	255	255
6YKM_A.pdb	6YSF_E.pdb	0.283	241	172	0	7	247	3	243	4.31E-11	475	255	252
6YSL_E.pdb	6YSL_E.pdb	1.000	255	0	0	1	255	1	255	1.93E-35	1751	255	255
6YSL_E.pdb	6YKM_A.pdb	0.334	246	163	0	1	246	2	246	8.68E-13	514	255	255
6YSL_E.pdb	6YSF_E.pdb	0.345	249	162	0	6	254	3	250	2.55E-12	508	255	252
