feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_022701275.1	Primary Assembly	chromosome		CP031740.1	140	1828	-					panP		D0A34_00005	1689		
CDS	with_protein	GCA_022701275.1	Primary Assembly	chromosome		CP031740.1	140	1828	-	UNU17454.1			putative pyridoxal-dependent aspartate 1-decarboxylase	panP		D0A34_00005	1689	562	
gene	protein_coding	GCA_022701275.1	Primary Assembly	chromosome		CP031740.1	1926	5201	-							D0A34_00010	3276		
CDS	with_protein	GCA_022701275.1	Primary Assembly	chromosome		CP031740.1	1926	5201	-	UNU17455.1			non-ribosomal peptide synthetase			D0A34_00010	3276	1091	
gene	protein_coding	GCA_022701275.1	Primary Assembly	chromosome		CP031740.1	5203	9945	-							D0A34_00015	4743		
CDS	with_protein	GCA_022701275.1	Primary Assembly	chromosome		CP031740.1	5203	9945	-	UNU17456.1			non-ribosomal peptide synthetase			D0A34_00015	4743	1580	
gene	protein_coding	GCA_022701275.1	Primary Assembly	chromosome		CP031740.1	9980	18577	-							D0A34_00020	8598		
CDS	with_protein	GCA_022701275.1	Primary Assembly	chromosome		CP031740.1	9980	18577	-	UNU17457.1			non-ribosomal peptide synthetase			D0A34_00020	8598	2865	
gene	pseudogene	GCA_022701275.1	Primary Assembly	chromosome		CP031740.1	19375	22207	+							D0A34_00025	2833		pseudo
CDS	without_protein	GCA_022701275.1	Primary Assembly	chromosome		CP031740.1	19375	22207	+				TonB-dependent receptor			D0A34_00025	2833		pseudo
gene	protein_coding	GCA_022701275.1	Primary Assembly	chromosome		CP031740.1	22472	23653	+							D0A34_00030	1182		
CDS	with_protein	GCA_022701275.1	Primary Assembly	chromosome		CP031740.1	22472	23653	+	UNU17458.1			PepSY domain-containing protein			D0A34_00030	1182	393	
gene	protein_coding	GCA_022701275.1	Primary Assembly	chromosome		CP031740.1	23744	25006	+							D0A34_00035	1263		
