feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	3802571	838	+							M0D55_00005	1218		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	3802571	838	+	UPT74200.1			MFS transporter			M0D55_00005	1218	405	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	880	1197	+							M0D55_00010	318		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	880	1197	+	UPT74201.1			1-acyl-sn-glycerol-3-phosphate acyltransferase			M0D55_00010	318	105	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	1244	2989	+							M0D55_00015	1746		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	1244	2989	+	UPT74202.1			AMP-binding protein			M0D55_00015	1746	581	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	3000	4505	+							M0D55_00020	1506		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	3000	4505	+	UPT74203.1			CNNM domain-containing protein			M0D55_00020	1506	501	
gene	pseudogene	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	4613	5637	+					hemE		M0D55_00025	1025		pseudo
CDS	without_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	4613	5637	+				uroporphyrinogen decarboxylase	hemE		M0D55_00025	1025		pseudo
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	5634	7097	+					hemG		M0D55_00030	1464		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	5634	7097	+	UPT74204.1			protoporphyrinogen oxidase	hemG		M0D55_00030	1464	487	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	7075	7710	+							M0D55_00035	636		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	7075	7710	+	UPT74205.1			MgtC/SapB family protein			M0D55_00035	636	211	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	7715	8752	+							M0D55_00040	1038		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	7715	8752	+	UPT74206.1			23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN			M0D55_00040	1038	345	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	8813	9019	-							M0D55_00045	207		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	8813	9019	-	UPT74207.1			hypothetical protein			M0D55_00045	207	68	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	9083	9226	+							M0D55_00050	144		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	9083	9226	+	UPT74208.1			hypothetical protein			M0D55_00050	144	47	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	9228	10199	+							M0D55_00055	972		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	9228	10199	+	UPT74209.1			hypothetical protein			M0D55_00055	972	323	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	10401	11249	+							M0D55_00060	849		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	10401	11249	+	UPT74210.1			HEAT repeat domain-containing protein			M0D55_00060	849	282	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	11246	12079	+							M0D55_00065	834		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	11246	12079	+	UPT74211.1			HEAT repeat domain-containing protein			M0D55_00065	834	277	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	12091	12666	+							M0D55_00070	576		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	12091	12666	+	UPT74212.1			MotA/TolQ/ExbB proton channel family protein			M0D55_00070	576	191	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	12674	13075	+							M0D55_00075	402		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	12674	13075	+	UPT74213.1			biopolymer transporter ExbD			M0D55_00075	402	133	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	13072	13815	+							M0D55_00080	744		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	13072	13815	+	UPT74214.1			TonB family protein			M0D55_00080	744	247	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	13848	14180	+							M0D55_00085	333		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	13848	14180	+	UPT74215.1			GNAT family N-acetyltransferase			M0D55_00085	333	110	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	14180	14356	+							M0D55_00090	177		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	14180	14356	+	UPT74216.1			GNAT family N-acetyltransferase			M0D55_00090	177	58	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	14385	15572	-							M0D55_00095	1188		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	14385	15572	-	UPT74217.1			MFS transporter			M0D55_00095	1188	395	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	15727	16059	+							M0D55_00100	333		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	15727	16059	+	UPT74218.1			hypothetical protein			M0D55_00100	333	110	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	16135	16677	-							M0D55_00105	543		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	16135	16677	-	UPT76177.1			CPBP family intramembrane metalloprotease			M0D55_00105	543	180	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	17585	18736	-							M0D55_00110	1152		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	17585	18736	-	UPT74219.1			HRDC domain-containing protein			M0D55_00110	1152	383	
gene	protein_coding	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	18853	19677	-					proC		M0D55_00115	825		
CDS	with_protein	GCA_023213235.1	Primary Assembly	chromosome		CP096137.1	18853	19677	-	UPT74220.1			pyrroline-5-carboxylate reductase	proC		M0D55_00115	825	274	
