feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	101	1540	+					dnaA		HYD_0010	1440		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	101	1540	+	BDB95868.1			chromosomal replication initiator protein DnaA	dnaA		HYD_0010	1440	479	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	2109	3575	-							HYD_0020	1467		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	2109	3575	-	BDB95869.1			hypothetical protein			HYD_0020	1467	488	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	3803	6112	-							HYD_0030	2310		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	3803	6112	-	BDB95870.1			DNA helicase			HYD_0030	2310	769	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	6470	7225	-					lolD		HYD_0040	756		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	6470	7225	-	BDB95871.1			lipoprotein-releasing system ATP-binding protein LolD	lolD		HYD_0040	756	251	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	7348	9507	-							HYD_0050	2160		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	7348	9507	-	BDB95872.1			hypothetical protein			HYD_0050	2160	719	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	10114	10911	+					rpsB		HYD_0060	798		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	10114	10911	+	BDB95873.1			30S ribosomal protein S2	rpsB		HYD_0060	798	265	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	10970	11830	+							HYD_0070	861		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	10970	11830	+	BDB95874.1			lipid A biosynthesis lauroyl acyltransferase			HYD_0070	861	286	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	11954	13672	+					metG		HYD_0080	1719		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	11954	13672	+	BDB95875.1			methionine--tRNA ligase	metG		HYD_0080	1719	572	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	13851	14504	+							HYD_0090	654		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	13851	14504	+	BDB95876.1			polar amino acid ABC transporter ATP-binding protein			HYD_0090	654	217	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	14593	15849	+					mtaB		HYD_0100	1257		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	14593	15849	+	BDB95877.1			threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	mtaB		HYD_0100	1257	418	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	15918	16343	+							HYD_0110	426		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	15918	16343	+	BDB95878.1			hypothetical protein			HYD_0110	426	141	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	16485	17744	+					tyrS		HYD_0120	1260		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	16485	17744	+	BDB95879.1			tyrosine--tRNA ligase	tyrS		HYD_0120	1260	419	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	17856	19145	+							HYD_0130	1290		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	17856	19145	+	BDB95880.1			integral membrane signal transducer protein			HYD_0130	1290	429	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	19202	20155	-					trxB		HYD_0140	954		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	19202	20155	-	BDB95881.1			thioredoxin reductase	trxB		HYD_0140	954	317	
gene	tRNA	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	20293	20366	-							HYD_t0010	74		
tRNA		GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	20293	20366	-				tRNA-Phe			HYD_t0010	74		
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	20870	21751	-							HYD_0150	882		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	20870	21751	-	BDB95882.1			hypothetical protein			HYD_0150	882	293	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	21924	22799	+							HYD_0160	876		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	21924	22799	+	BDB95883.1			hypothetical protein			HYD_0160	876	291	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	22783	23727	+							HYD_0170	945		
CDS	with_protein	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	22783	23727	+	BDB95884.1			glycosyl hydrolase			HYD_0170	945	314	
gene	protein_coding	GCA_021654655.1	Primary Assembly	chromosome		AP025225.1	23840	24325	-							HYD_0180	486		
