feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	4	1398	+					dnaA		TPELMNP1_0001	1395		
CDS	with_protein	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	4	1398	+	AWG40860.1			DNA-directed DNA replication initiator protein	dnaA		TPELMNP1_0001	1395	464	
gene	protein_coding	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	1457	1687	-							TPELMNP1_0001a	231		
CDS	with_protein	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	1457	1687	-	AWG40861.1			hypothetical protein			TPELMNP1_0001a	231	76	
gene	protein_coding	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	1641	2756	+					dnaN		TPELMNP1_0002	1116		
CDS	with_protein	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	1641	2756	+	AWG40862.1			DNA-directed DNA polymerase III beta subunit	dnaN		TPELMNP1_0002	1116	371	
gene	protein_coding	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	2761	3834	+					recF		TPELMNP1_0003	1074		
CDS	with_protein	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	2761	3834	+	AWG40863.1			DNA recombination protein RecF	recF		TPELMNP1_0003	1074	357	
gene	protein_coding	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	3827	4264	+							TPELMNP1_0004	438		
CDS	with_protein	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	3827	4264	+	AWG40864.1			hypothetical protein			TPELMNP1_0004	438	145	
gene	protein_coding	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	4391	6832	+					gyrA		TPELMNP1_0005	2442		
CDS	with_protein	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	4391	6832	+	AWG40865.1			cDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	gyrA		TPELMNP1_0005	2442	813	
gene	protein_coding	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	6814	7074	+							TPELMNP1_0005a	261		
CDS	with_protein	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	6814	7074	+	AWG40866.1			hypothetical protein			TPELMNP1_0005a	261	86	
gene	pseudogene	GCA_003076575.1	Primary Assembly	chromosome		CP021113.1	7014	8260	+							TPELMNP1_0006	1247		pseudo
